EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
2,0,1,0,-2,0,0,0
-3,-1,1,0,0,-1,-1,-3
0,-3,-2,-1,-1,0,0,1
-8,-1,-1,-3,-1,-2,1,-1
2,-1,-1,-2,-2,-1,-3,0
-2,-3,-2,-1,1,0,-1,0
-8,-3,-2,-1,0,-2,-3,-6
-2,0,-1,-2,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,0,0
1,0,-2,-1,-2,-1,-1,1
7,2,0,-1,0,-2,0,0
2,0,-3,-1,0,0,-2,-1
-4,-1,-1,-2,0,-1,-1,-1
2,-1,-1,-1,0,0,1,1
-2,-2,-1,0,-1,-1,-2,0
1,-1,-1,-1,-2,0,-2,-2
0,-1,-1,0,1,-1,0,1
0,0,-2,-3,-2,-2,-1,-1
-4,0,-1,1,1,2,-1,-2
-2,-2,-3,-6,2,-1,-1,0
-3,0,-2,5,-6,-1,-3,-2
1,-1,1,4,-2,-2,-2,0
4,1,-1,-3,5,-1,-2,0
1,2,-1,-4,-4,-3,-1,3
-6,-6,0,2,-3,-1,0,-3
-3,-6,-2,2,7,-1,-1,-2
-7,-1,-2,-3,-7,-1,-1,-4
7,4,0,-11,-11,-1,0,1
1,15,2,4,7,4,1,4
-17,-54,-6,8,18,0,-3,-10
22,57,6,-1,-4,-5,-1,3
-23,-26,-9,-13,-24,-5,-4,-6
9,8,-13,-26,-5,-6,-3,-1
-5,-10,10,19,-2,4,2,5
0,5,0,-2,0,3,2,1
6,2,19,21,27,11,6,4
18,6,5,37,18,4,2,3
1,12,-6,2,16,-2,-3,0
-8,-24,-10,-11,-6,-7,-3,-4
-7,-2,-13,-42,-35,-10,-5,-2
0,-11,6,-23,-41,-2,0,-1
1,7,3,28,48,7,2,0
1,-8,1,10,8,0,0,3
5,4,-14,-5,7,-2,0,1
-6,-10,2,-9,-3,-1,-1,0
-1,14,1,-14,-30,-6,-3,0
-17,-18,-11,-4,-3,-2,-3,-7
9,6,-5,-6,5,-3,-1,2
0,-2,8,29,-5,-2,0,-2
13,-5,-5,-12,-17,-1,-1,1
-15,42,10,22,31,6,1,-2
11,2,-1,-4,-3,-1,-1,-1
-25,-18,-10,-9,4,-4,-3,-7
7,16,0,-11,-15,0,0,1
2,-19,2,6,-7,-1,-4,-5
-5,-3,-4,6,3,-1,-3,-3
-1,7,-2,-2,3,-2,-3,1
-3,-2,-5,-15,-7,-3,-2,-1
10,-11,-1,-6,-8,-1,2,8
6,11,11,20,9,3,2,-1
-4,-12,-9,-3,4,0,-2,-5
-7,-1,-4,-13,-12,-4,1,2
-7,-15,-3,-1,-2,1,0,-1
0,-1,0,3,1,-1,0,3
8,-1,-6,-10,2,-2,-1,3
1,8,-6,-23,-16,-6,-5,-7
10,0,11,-5,-3,0,1,8
-13,-15,5,7,8,1,-9,-4
1,18,17,30,9,6,5,-5
-19,1,-7,5,-1,-3,2,-4
-15,-51,-11,-15,-8,1,3,-6
16,20,-4,-20,-13,0,10,9
-5,-6,1,16,6,-24,-35,-7
4,-3,3,-10,-12,-5,0,-5
-16,16,-1,7,5,0,-22,-19
17,-12,1,6,-1,4,-31,-2
0,-9,-12,-21,2,10,13,14
-8,-2,-4,-1,-5,-20,1,-12
21,4,4,-1,7,23,78,40
-14,9,5,20,7,8,2,-10
-21,-13,-12,-32,-31,-56,-79,-44
12,5,6,12,6,15,-30,6
0,-4,-11,-8,-10,-5,-7,-2
-8,-5,-4,-18,-14,-37,-10,-5
11,4,5,10,17,32,34,14
-3,-2,-2,3,2,19,16,1
-9,-13,-4,-5,-10,-13,-12,-14
19,30,-1,-1,14,18,30,16
-23,-13,1,-5,-3,2,5,0
12,11,2,-1,0,-12,-17,-3
3,-6,2,2,-6,-7,-16,3
2,-7,-6,1,-5,-11,-13,-10
-24,-3,-2,-3,-2,-8,-32,-17
20,22,7,-1,-6,8,15,21
-5,-2,-2,2,10,8,57,4
-1,-14,-8,10,13,23,8,0
-7,5,2,-21,-8,-30,29,5
7,-20,-9,15,-1,11,-2,7
8,2,9,-3,18,22,-20,2
-15,15,29,65,33,11,-1,-6
18,-2,-3,17,14,29,4,15
10,6,-1,-12,7,13,-6,-8
-14,-22,-8,-7,-19,-32,-17,-8
11,16,-15,-29,-25,-21,-6,1
2,6,-20,-34,-30,-2,-25,-14
-11,-19,14,-11,10,5,19,13
28,26,39,89,63,59,79,48
21,51,30,18,30,56,70,34
-5,-9,-9,12,-1,-11,15,-5
-16,-17,-21,-43,-35,-15,-45,-23
-8,-8,-22,-40,-33,-39,-80,-34
-49,-44,-6,4,1,-18,-27,-28
8,4,-1,-8,-10,11,18,12
-10,0,3,16,18,15,2,-5
1,7,-5,-12,-16,-10,1,1
-3,-15,-12,-20,-18,-18,-22,-15
14,7,3,5,-8,5,-74,-13
21,15,16,27,14,-40,35,26
1,-2,-3,10,4,20,37,-1
-27,-35,-15,-11,-25,-47,-10,-11
11,22,-1,-9,-13,8,18,8
-23,-9,-9,-21,5,-18,-60,-12
33,26,39,78,48,42,60,21
-15,-17,-6,-9,0,17,-14,-14
-7,-20,-3,-2,-2,-10,14,4
-5,11,-13,-10,-18,-9,-11,-18
-1,-4,-19,-43,-26,-27,-51,-9
-16,-13,-2,-6,3,9,18,7
-8,7,0,12,13,20,16,-2
-19,-22,-10,-30,-20,-21,22,-14
-2,7,7,20,-7,-30,-59,-25
26,11,8,15,6,7,42,36
21,-5,-1,3,13,17,18,2
-15,-3,-12,-16,-31,-24,-17,-7
-11,-10,-6,-12,-7,-26,-33,-8
4,-3,-5,-7,-17,-15,-1,-2
-1,-3,4,7,-1,-28,-30,-12
27,-18,-8,6,7,7,-32,-14
-41,12,-12,-48,-36,-24,-35,-20
13,6,5,9,20,2,-8,13
33,0,10,16,23,62,105,30
-5,1,-16,-12,-13,11,18,21
-14,-20,-13,-53,9,-5,-10,-15
-2,-13,5,-10,0,16,-20,-3
20,22,0,-5,-16,-55,-35,-1
-3,27,12,52,15,44,53,3
28,-21,-18,-28,6,20,8,19
-11,-21,0,-10,12,5,-41,-23
-27,-11,11,20,-7,-34,-7,-7
34,45,8,16,4,25,20,14
10,27,1,14,-21,-19,14,18
8,-10,-24,-37,-11,10,17,-6
-12,2,50,88,49,24,16,7
-34,-30,-7,10,15,-5,-26,-24
-6,-3,3,12,-4,-4,-26,-11
-3,-4,-26,-14,-27,-2,32,5
8,10,-4,-40,1,-5,14,17
1,2,18,16,7,-2,13,7
-3,-5,-11,3,-2,1,7,-3
-15,-5,-12,-14,-17,-6,-31,-12
-19,-38,-25,-27,-13,-23,-9,-14
20,32,-2,-23,-12,1,-2,4
18,18,14,-26,-37,-7,25,24
-15,4,4,30,35,-4,-12,-1
15,2,15,19,21,11,7,-1
-50,-53,-49,-6,-17,-12,1,0
-24,17,70,57,69,69,-8,-20
34,22,45,73,37,-7,13,12
7,-3,-25,-39,-33,-36,-47,-13
29,12,13,12,23,31,21,4
-29,-36,-42,-30,-24,-7,14,-9
-18,1,-3,-16,-22,-35,-1,-12
-7,5,-17,-14,-10,11,32,8
