Gyro_X,Gyro_Y,Gyro_Z
28.5625,-6.4375,58.3125
24.75,-15.3125,60.4375
32.4375,-26.875,60.6875
34.875,-35.1875,61.875
34.9375,-43.875,59.375
26.3125,-53.5,56.125
26.4375,-68.875,49.4375
19.875,-84.0625,42.1875
30.4375,-99.875,33.875
32.25,-109.0625,28.0
45.4375,-114.8125,23.625
42.125,-113.625,22.375
43.25,-107.125,15.1875
37.0,-103.4375,6.25
34.125,-96.25,-0.875
34.875,-87.625,-1.8125
42.6875,-78.625,-2.0
46.5625,-70.25,-4.6875
44.5,-61.4375,-6.1875
37.4375,-50.4375,-8.1875
25.4375,-34.3125,-10.8125
5.1875,-16.375,-12.375
-4.5,0.375,-7.3125
9.75,27.9375,-4.75
28.25,66.1875,-13.5
38.625,100.375,-20.75
38.4375,127.3125,-22.0625
46.625,150.125,-23.625
65.5625,173.0625,-33.75
69.0625,191.4375,-46.625
52.0,199.375,-56.3125
38.875,200.0625,-62.1875
46.0,198.375,-69.375
56.4375,195.1875,-78.4375
56.8125,186.4375,-82.9375
56.375,173.4375,-82.5
60.0,159.1875,-81.5625
58.9375,145.125,-81.5625
60.875,128.75,-80.625
62.9375,111.3125,-76.8125
59.0,93.0625,-73.5625
51.4375,75.3125,-66.6875
55.125,58.3125,-60.125
73.5,41.75,-55.5625
91.5,27.0625,-48.9375
79.125,11.8125,-40.5625
58.875,4.4375,-31.6875
57.9375,4.75,-30.0625
41.75,-9.5625,-26.8125
31.9375,-15.25,-28.875
47.6875,-11.0,-21.0625
38.125,-8.0625,-21.4375
8.8125,-16.8125,-20.9375
-0.25,-21.875,-20.375
20.625,-16.6875,-15.9375
26.0625,-13.5,-15.5
5.4375,-15.25,-10.6875
-1.375,-11.375,-8.0625
1.9375,-8.5,-6.375
10.75,-2.8125,-8.375
3.375,1.375,-6.6875
-0.5,5.4375,-7.5
0.9375,10.4375,-8.6875
-2.8125,17.875,-12.125
-10.4375,31.0625,-16.5
-20.4375,46.75,-19.125
-26.0625,59.5625,-20.5625
-34.625,69.4375,-26.0
-40.8125,75.625,-31.125
-47.5625,76.125,-34.4375
-47.625,73.6875,-41.75
-51.9375,73.375,-60.375
-68.9375,66.9375,-86.375
-73.125,56.5625,-105.1875
-82.3125,45.0625,-127.5625
-95.125,33.875,-148.375
-111.0625,26.75,-151.0625
-133.8125,24.8125,-144.75
-134.375,32.0625,-124.625
-107.8125,38.375,-83.625
-74.125,39.1875,-6.9375
-25.6875,33.4375,78.375
36.375,26.0625,144.375
